VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-02-01 00:04:11,2016-02-01 00:07:29,1,.69,-73.96044921875,40.71099853515625,1,N,-73.956657409667969,40.718860626220703,2,4.5,0.5,0.5,0,0,0.3,5.8
2,2016-02-01 00:06:20,2016-02-01 00:24:24,1,9.64,-73.8638916015625,40.769889831542969,1,N,-73.95111083984375,40.692150115966797,1,28,0.5,0.5,5.86,0,0.3,35.16
2,2016-02-01 00:08:48,2016-02-01 00:08:48,5,18.53,-73.787956237792969,40.641483306884766,2,N,-73.996109008789063,40.7381591796875,2,52,0,0.5,0,5.54,0.3,58.34
2,2016-02-01 00:11:02,2016-02-01 00:31:29,5,8.83,-73.863449096679688,40.770179748535156,1,N,-73.960929870605469,40.797008514404297,1,26.5,0.5,0.5,6.67,5.54,0.3,40.01
2,2016-02-01 00:14:27,2016-02-01 00:20:45,1,2.12,-73.989616394042969,40.718837738037109,1,N,-73.961456298828125,40.714012145996094,1,8.5,0.5,0.5,1.2,0,0.3,11
2,2016-02-01 00:21:01,2016-02-01 00:21:01,1,16.40,-73.791526794433594,40.645339965820313,2,N,-73.969627380371094,40.753688812255859,2,52,0,0.5,0,5.54,0.3,58.34
1,2016-02-01 00:00:00,2016-02-01 00:06:47,1,.90,-73.981636047363281,40.728553771972656,1,N,-73.980484008789063,40.739547729492188,1,6.5,0.5,0.5,2.2,0,0.3,10
2,2016-02-01 00:00:00,2016-02-01 19:50:51,1,3.42,-73.953468322753906,40.767311096191406,1,N,0,0,2,12,1.3,0.5,0,0,0,13.8
1,2016-02-01 00:00:01,2016-02-01 00:03:16,3,.00,-73.949775695800781,40.662441253662109,1,N,-73.948249816894531,40.662582397460937,3,2.5,0.5,0.5,0,0,0.3,3.8
1,2016-02-01 00:00:03,2016-02-01 00:05:38,1,1.00,-73.968605041503906,40.754764556884766,1,N,-73.97711181640625,40.762531280517578,1,6,0.5,0.5,1.45,0,0.3,8.75
1,2016-02-01 00:00:03,2016-02-01 00:03:59,1,.80,-73.976951599121094,40.747386932373047,1,N,-73.9869384765625,40.74481201171875,1,5,0.5,0.5,1,0,0.3,7.3
2,2016-02-01 00:00:03,2016-02-01 00:11:06,2,3.13,-74.003288269042969,40.727100372314453,1,N,-73.97119140625,40.755889892578125,1,12,0.5,0.5,2.66,0,0.3,15.96
1,2016-02-01 00:00:05,2016-02-01 00:18:34,1,9.40,-73.874481201171875,40.774009704589844,1,N,-73.964065551757813,40.802833557128906,2,26.5,0.5,0.5,0,5.54,0.3,33.34
1,2016-02-01 00:00:06,2016-02-01 00:15:47,2,9.80,-73.863166809082031,40.769973754882813,1,N,-73.956329345703125,40.767482757568359,1,27.5,0.5,0.5,6.85,5.54,0.3,41.19
1,2016-02-01 00:00:07,2016-02-01 00:04:36,1,.90,0,0,1,Y,0,0,1,5.5,0.5,0.5,1.7,0,0.3,8.5
2,2016-02-01 00:00:07,2016-02-01 00:22:20,6,12.10,-74.000106811523438,40.717788696289063,1,N,-73.935043334960937,40.844871520996094,2,34.5,0.5,0.5,0,0,0.3,35.8
2,2016-02-01 00:00:07,2016-02-01 00:04:33,3,1.19,-73.962623596191406,40.76123046875,1,N,-73.955459594726563,40.772590637207031,1,6,0.5,0.5,1.82,0,0.3,9.12
1,2016-02-01 00:00:08,2016-02-01 00:32:44,4,8.10,-73.992073059082031,40.759231567382812,1,N,-73.940010070800781,40.851451873779297,1,28.5,0.5,0.5,5,0,0.3,34.8
2,2016-02-01 00:00:08,2016-02-01 00:20:37,6,8.11,-73.982772827148438,40.735000610351563,1,N,-73.941932678222656,40.810409545898437,1,25,0.5,0.5,5.26,0,0.3,31.56
2,2016-02-01 00:00:09,2016-02-01 00:14:04,2,3.60,-73.999092102050781,40.717472076416016,1,N,-73.988548278808594,40.758827209472656,1,13,0.5,0.5,1,0,0.3,15.3
1,2016-02-01 00:00:11,2016-02-01 00:35:10,1,10.40,-74.00054931640625,40.729808807373047,1,N,-73.939407348632813,40.826812744140625,1,33.5,0.5,0.5,5,0,0.3,39.8
2,2016-02-01 00:00:12,2016-02-01 00:21:32,1,13.51,-73.873252868652344,40.774200439453125,1,N,-73.984519958496094,40.663429260253906,2,37.5,0.5,0.5,0,0,0.3,38.8
2,2016-02-01 00:00:12,2016-02-01 00:09:42,2,2.42,-74.000015258789063,40.738082885742188,1,N,-74.002189636230469,40.709262847900391,2,9.5,0.5,0.5,0,0,0.3,10.8
